일자,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"2021/05/03","42025","270","-0.64","42095.46","42250","42630","41975","5093573","215162424365","4116348750000","4058002281384","97950000","코스피 200","420.36","2.00","-0.47"
"2021/04/30","42295","295","-0.69","42296.03","42525","42655","42135","5000310","211739452525","4142795250000","4142896042169","97950000","코스피 200","422.36","3.92","-0.92"
"2021/04/29","42590","145","-0.34","42689.59","42885","43020","42505","5172662","221104257650","4171690500000","4181445378292","97950000","코스피 200","426.28","1.20","-0.28"
"2021/04/28","43405","465","-1.06","42808.47","43820","43825","43320","3886549","169029208480","4366543000000","4193089389033","100600000","코스피 200","427.48","4.66","-1.08"
"2021/04/27","43870","50","0.11","43948.20","43860","43910","43680","4696932","205879927500","4329969000000","4421189329480","98700000","코스피 200","432.14","0.22","-0.05"
"2021/04/26","43820","395","0.91","43968.24","43540","43830","43500","4703970","205733214250","4460876000000","4339665745993","101800000","코스피 200","432.36","4.02","0.94"
"2021/04/23","43425","25","0.06","43568.34","43170","43550","42925","4199882","182233168590","4683386250000","4435256798276","107850000","코스피 200","428.34","0.97","0.23"
"2021/04/22","43400","65","0.15","43471.36","43520","43690","43355","6251618","271891542430","4491900000000","4688385969013","103500000","코스피 200","427.37","0.62","0.15"
"2021/04/21","43335","790","-1.79","43409.23","43840","43905","43195","11608961","503765098120","4493839500000","4492855009988","103700000","코스피 200","426.75","7.85","-1.81"
"2021/04/20","44125","275","0.63","44199.58","43760","44170","43760","5454369","240607378420","4697106250000","4583496201176","106450000","코스피 200","434.60","2.64","0.61"
"2021/04/19","43850","5","-0.01","43936.13","43855","44120","43730","5106949","224442726885","4683180000000","4677000556676","106800000","코스피 200","431.96","0.47","-0.11"
"2021/04/16","43855","25","-0.06","43984.76","44025","44040","43715","5925140","259949463850","4549956250000","4697572142480","103750000","코스피 200","432.43","0.23","-0.05"
"2021/04/15","43880","40","0.09","44011.32","43765","44135","43725","6682443","293398604945","4550356000000","4566174595147","103700000","코스피 200","432.66","1.95","0.45"
