ticker,record_date,pay_date,distribution_per_share,taxable_per_share,source,source_url
244620,2021-04-30,2021-05-04,80,80,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF60_20210430.pdf
244620,2022-04-29,2022-05-03,230,224,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF60
244620,2023-04-28,2023-05-03,188,188,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF60
244620,2024-04-30,2024-05-03,100,100,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF60
244620,2025-04-30,2025-05-07,263,263,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF60
244620,2026-01-30,2026-02-03,14,14,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF60
244620,2026-04-30,2026-05-06,129,128,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF60
244660,2018-04-30,2018-05-03,95,95,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF61_20210430.pdf
244660,2019-04-30,2019-05-03,100,100,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF61_20210430.pdf
244660,2020-04-29,2020-05-06,110,110,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF61_20210430.pdf
244660,2021-04-30,2021-05-04,150,150,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF61_20210430.pdf
244660,2022-04-29,2022-05-03,250,159,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF61
244660,2023-04-28,2023-05-03,162,162,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF61
244660,2024-04-30,2024-05-03,170,170,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF61
244660,2025-04-30,2025-05-07,184,184,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF61
244660,2026-04-30,2026-05-06,136,136,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF61
244660,2026-07-31,2026-08-04,79,79,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF61
252650,2018-04-30,2018-05-03,160,160,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF69_20210430.pdf
252650,2019-04-30,2019-05-03,170,170,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF69_20210430.pdf
252650,2020-04-29,2020-05-06,160,160,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF69_20210430.pdf
252650,2021-04-30,2021-05-04,190,190,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF69_20210430.pdf
252650,2022-04-29,2022-05-03,270,261,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF69
252650,2023-04-28,2023-05-03,218,206,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF69
252650,2024-04-30,2024-05-03,220,215,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF69
252650,2025-04-30,2025-05-07,249,237,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF69
252650,2026-01-30,2026-02-03,8,8,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF69
252650,2026-04-30,2026-05-06,138,138,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF69
252650,2026-07-31,2026-08-04,100,100,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF69
