date,0
2023-01-18,growth
2023-01-19,growth
2023-01-20,growth
2023-01-25,growth
2023-01-26,growth
2023-01-27,growth
2023-01-30,growth
2023-01-31,growth
2023-02-01,growth
2023-02-02,growth
2023-02-03,growth
2023-02-06,growth
2023-02-07,growth
2023-02-08,growth
2023-02-09,growth
2023-02-10,defensive
2023-02-13,growth
2023-02-14,growth
2023-02-15,growth
2023-02-16,defensive
2023-02-17,growth
2023-02-20,growth
2023-02-21,growth
2023-02-22,growth
2023-02-23,growth
2023-02-24,growth
2023-02-27,growth
2023-02-28,growth
2023-03-02,growth
2023-03-03,growth
2023-03-06,growth
2023-03-07,growth
2023-03-08,growth
2023-03-09,growth
2023-03-10,growth
2023-03-13,growth
2023-03-14,growth
2023-03-15,growth
2023-03-16,growth
2023-03-17,growth
2023-03-20,growth
2023-03-21,growth
2023-03-22,growth
2023-03-23,growth
2023-03-24,growth
2023-03-27,growth
2023-03-28,growth
2023-03-29,growth
2023-03-30,growth
2023-03-31,growth
2023-04-03,growth
2023-04-04,growth
2023-04-05,growth
2023-04-06,growth
2023-04-07,growth
2023-04-10,growth
2023-04-11,growth
2023-04-12,growth
2023-04-13,growth
2023-04-14,growth
2023-04-17,growth
2023-04-18,growth
2023-04-19,growth
2023-04-20,growth
2023-04-21,growth
2023-04-24,growth
2023-04-25,growth
2023-04-26,growth
2023-04-27,growth
2023-04-28,growth
2023-05-02,growth
2023-05-03,growth
2023-05-04,growth
2023-05-08,growth
2023-05-09,growth
2023-05-10,growth
2023-05-11,growth
2023-05-12,growth
2023-05-15,growth
2023-05-16,growth
2023-05-17,growth
2023-05-18,growth
2023-05-19,growth
2023-05-22,growth
2023-05-23,growth
2023-05-24,growth
2023-05-25,growth
2023-05-26,growth
2023-05-30,growth
2023-05-31,growth
2023-06-01,growth
2023-06-02,growth
2023-06-05,growth
2023-06-07,growth
2023-06-08,growth
2023-06-09,growth
2023-06-12,growth
2023-06-13,growth
2023-06-14,growth
2023-06-15,growth
2023-06-16,growth
2023-06-19,growth
2023-06-20,growth
2023-06-21,growth
2023-06-22,growth
2023-06-23,growth
2023-06-26,growth
2023-06-27,growth
2023-06-28,growth
2023-06-29,growth
2023-06-30,growth
2023-07-03,growth
2023-07-04,growth
2023-07-05,growth
2023-07-06,growth
2023-07-07,growth
2023-07-10,defensive
2023-07-11,growth
2023-07-12,growth
2023-07-13,growth
2023-07-14,defensive
2023-07-17,defensive
2023-07-18,growth
2023-07-19,growth
2023-07-20,growth
2023-07-21,growth
2023-07-24,defensive
2023-07-25,growth
2023-07-26,defensive
2023-07-27,defensive
2023-07-28,defensive
2023-07-31,defensive
2023-08-01,growth
2023-08-02,defensive
2023-08-03,defensive
2023-08-04,defensive
2023-08-07,defensive
2023-08-08,defensive
2023-08-09,defensive
2023-08-10,defensive
2023-08-11,defensive
2023-08-14,defensive
2023-08-16,defensive
2023-08-17,defensive
2023-08-18,defensive
2023-08-21,defensive
2023-08-22,defensive
2023-08-23,defensive
2023-08-24,growth
2023-08-25,defensive
2023-08-28,defensive
2023-08-29,defensive
2023-08-30,defensive
2023-08-31,growth
2023-09-01,growth
2023-09-04,defensive
2023-09-05,growth
2023-09-06,growth
2023-09-07,defensive
2023-09-08,defensive
2023-09-11,defensive
2023-09-12,defensive
2023-09-13,defensive
2023-09-14,defensive
2023-09-15,defensive
2023-09-18,defensive
2023-09-19,defensive
2023-09-20,defensive
2023-09-21,defensive
2023-09-22,defensive
2023-09-25,defensive
2023-09-26,defensive
2023-09-27,defensive
2023-10-04,defensive
2023-10-05,defensive
2023-10-06,defensive
2023-10-10,defensive
2023-10-11,defensive
2023-10-12,defensive
2023-10-13,defensive
2023-10-16,defensive
2023-10-17,defensive
2023-10-18,defensive
2023-10-19,defensive
2023-10-20,defensive
2023-10-23,defensive
2023-10-24,defensive
2023-10-25,defensive
2023-10-26,defensive
2023-10-27,defensive
2023-10-30,defensive
2023-10-31,defensive
2023-11-01,defensive
2023-11-02,defensive
2023-11-03,defensive
2023-11-06,defensive
2023-11-07,defensive
2023-11-08,defensive
2023-11-09,defensive
2023-11-10,defensive
2023-11-13,defensive
2023-11-14,defensive
2023-11-15,defensive
2023-11-16,defensive
2023-11-17,defensive
2023-11-20,defensive
2023-11-21,defensive
2023-11-22,defensive
2023-11-23,defensive
2023-11-24,defensive
2023-11-27,defensive
2023-11-28,defensive
2023-11-29,defensive
2023-11-30,defensive
2023-12-01,defensive
2023-12-04,defensive
2023-12-05,defensive
2023-12-06,defensive
2023-12-07,defensive
2023-12-08,defensive
2023-12-11,defensive
2023-12-12,defensive
2023-12-13,defensive
2023-12-14,defensive
2023-12-15,defensive
2023-12-18,defensive
2023-12-19,defensive
2023-12-20,defensive
2023-12-21,defensive
2023-12-22,defensive
2023-12-26,defensive
2023-12-27,defensive
2023-12-28,defensive
2024-01-02,defensive
2024-01-03,growth
2024-01-04,defensive
2024-01-05,growth
2024-01-08,growth
2024-01-09,growth
2024-01-10,growth
2024-01-11,defensive
2024-01-12,defensive
2024-01-15,defensive
2024-01-16,defensive
2024-01-17,defensive
2024-01-18,defensive
2024-01-19,growth
2024-01-22,growth
2024-01-23,growth
2024-01-24,growth
2024-01-25,growth
2024-01-26,growth
2024-01-29,defensive
2024-01-30,defensive
2024-01-31,defensive
2024-02-01,defensive
2024-02-02,defensive
2024-02-05,defensive
2024-02-06,defensive
2024-02-07,defensive
2024-02-08,defensive
2024-02-13,defensive
2024-02-14,defensive
2024-02-15,defensive
2024-02-16,defensive
2024-02-19,defensive
2024-02-20,defensive
2024-02-21,growth
2024-02-22,defensive
2024-02-23,growth
2024-02-26,defensive
2024-02-27,defensive
2024-02-28,defensive
2024-02-29,defensive
2024-03-04,defensive
2024-03-05,defensive
2024-03-06,defensive
2024-03-07,defensive
2024-03-08,defensive
2024-03-11,defensive
2024-03-12,defensive
2024-03-13,defensive
2024-03-14,defensive
2024-03-15,defensive
2024-03-18,defensive
2024-03-19,defensive
2024-03-20,defensive
2024-03-21,defensive
2024-03-22,defensive
2024-03-25,defensive
2024-03-26,defensive
2024-03-27,defensive
2024-03-28,defensive
2024-03-29,defensive
2024-04-01,defensive
2024-04-02,defensive
2024-04-03,defensive
2024-04-04,defensive
2024-04-05,defensive
2024-04-08,defensive
2024-04-09,defensive
2024-04-11,defensive
2024-04-12,defensive
2024-04-15,defensive
2024-04-16,defensive
2024-04-17,defensive
2024-04-18,defensive
2024-04-19,defensive
2024-04-22,defensive
2024-04-23,defensive
2024-04-24,defensive
2024-04-25,defensive
2024-04-26,defensive
2024-04-29,defensive
2024-04-30,growth
2024-05-02,growth
2024-05-03,growth
2024-05-07,growth
2024-05-08,growth
2024-05-09,growth
2024-05-10,growth
2024-05-13,growth
2024-05-14,growth
2024-05-16,growth
2024-05-17,growth
2024-05-20,growth
2024-05-21,growth
2024-05-22,growth
2024-05-23,growth
2024-05-24,growth
2024-05-27,growth
2024-05-28,growth
2024-05-29,growth
2024-05-30,growth
2024-05-31,growth
2024-06-03,growth
2024-06-04,growth
2024-06-05,growth
2024-06-07,growth
2024-06-10,growth
2024-06-11,growth
2024-06-12,growth
2024-06-13,growth
2024-06-14,growth
2024-06-17,growth
2024-06-18,growth
2024-06-19,growth
2024-06-20,growth
2024-06-21,growth
2024-06-24,growth
2024-06-25,growth
2024-06-26,growth
2024-06-27,growth
2024-06-28,growth
2024-07-01,growth
2024-07-02,growth
2024-07-03,growth
2024-07-04,growth
2024-07-05,growth
2024-07-08,growth
2024-07-09,growth
2024-07-10,growth
2024-07-11,growth
2024-07-12,growth
2024-07-15,growth
2024-07-16,growth
2024-07-17,growth
2024-07-18,growth
2024-07-19,growth
2024-07-22,growth
2024-07-23,growth
2024-07-24,growth
2024-07-25,growth
2024-07-26,defensive
2024-07-29,defensive
2024-07-30,defensive
2024-07-31,defensive
2024-08-01,defensive
2024-08-02,defensive
2024-08-05,defensive
2024-08-06,defensive
2024-08-07,defensive
2024-08-08,defensive
2024-08-09,defensive
2024-08-12,defensive
2024-08-13,defensive
2024-08-14,defensive
2024-08-16,defensive
2024-08-19,defensive
2024-08-20,defensive
2024-08-21,defensive
2024-08-22,defensive
2024-08-23,defensive
2024-08-26,defensive
2024-08-27,defensive
2024-08-28,defensive
2024-08-29,defensive
2024-08-30,defensive
2024-09-02,defensive
2024-09-03,defensive
2024-09-04,defensive
2024-09-05,defensive
2024-09-06,defensive
2024-09-09,defensive
2024-09-10,defensive
2024-09-11,defensive
2024-09-12,defensive
2024-09-13,defensive
2024-09-19,defensive
2024-09-20,defensive
